"State","Year","Population","Total_crime","Violent_crime","Murder","Forcible_rape","Robbery","Aggravated_assault","Property_crime","Burglary","Larceny_theft","Motor_vehicle_theft","Prison_population","GDP","Gun_number","Police_number"
"MAINE",2017,1335907,1628.1,121,1.7,35.4,18.6,65.3,1507.1,249.6,1198.1,59.4,2404,56189.3,"96,590",2900
"MAINE",2018,1338404,1469.9,112.1,1.8,33.3,17,60,1357.8,202.7,1097.1,58.1,2425,57450.4,"93,360",2932
"MAINE",2014,1330089,2114.2,127.8,1.6,63.6,22.9,66.9,1986.4,378.2,1548.2,60.1,2242,53418,"83,085",2815
"MAINE",2013,1328302,2421.5,129.3,1.8,59.6,25.2,68.7,2292.2,488.1,1735.3,68.8,2173,52505,"96,760",2806
"MAINE",2015,1329328,1960.1,130.1,1.7,62.3,23.4,69.3,1830,352.4,1416.4,61.2,2279,53780.5,"94,744",2837
"MARYLAND",2008,5633597,4145.8,628.2,8.8,20,234.4,365.1,3517.6,689.6,2378.3,449.7,NA,315858.9,"89,583",20797
"MARYLAND",2009,5699478,3790.6,589.9,7.7,20.3,210.7,351.3,3200.7,649.7,2206.7,344.2,22255,314862.8,"95,191",20609
"MARYLAND",2010,5773552,3545,547.7,7.4,21.3,191.5,327.5,2997.3,632.9,2051.7,312.6,22645,327234.5,"88,162",20467
"MARYLAND",2011,5828289,3354.3,494.1,6.8,20.5,177.5,289.3,2860.2,614,1970.5,275.7,22558,334306.6,"103,020",20453
"MARYLAND",2012,5884563,3230.3,476.8,6.3,21,172.3,277.2,2753.5,573.2,1924.9,255.3,21522,334821.6,"136,604",17956
"MARYLAND",2013,5928814,3137.3,473.8,6.4,45.7,169.5,272,2663.5,538.9,1898.3,226.3,21335,334939,"231,182",22726
"MARYLAND",2014,5976407,2953.6,446.1,6.1,46.2,159.7,253.2,2507.5,468.7,1819.6,219.2,21011,338734,"142,207",20745
"MARYLAND",2015,6006401,2772.2,457.2,8.6,47.4,164.2,256.7,2315,427.5,1668.5,218.9,20764,345230.2,"125,694",22959
"MARYLAND",2016,6016447,2756.5,472,8,50.2,171,263.8,2284.5,410.4,1677.4,196.7,19994,356817.6,"165,367",10286
"MARYLAND",2018,6042718,2502,468.7,8.1,32.8,160.8,267,2033.3,312.6,1519.8,200.9,18856,368860.2,"151,470",19916
"MARYLAND",2017,6052177,2722.5,500.2,9,27.9,185.1,278.2,2222.3,388.4,1609.7,224.2,19367,360030.1,"158,659",20060
"MASSACHUSETTS",2008,6497967,2849.1,449,2.6,26.7,108.8,310.9,2400.1,555.5,1648.6,196,NA,412600.5,"119,859",20173
"MASSACHUSETTS",2010,6547629,2817.1,466.6,3.2,26.7,105,331.8,2350.5,576.8,1598.8,174.9,11313,424581.3,"115,904",19574
"MASSACHUSETTS",2011,6587536,2687.1,428.4,2.8,24.7,102.7,298.1,2258.7,554.6,1540.3,163.7,11623,434723.5,"153,487",19771
"MASSACHUSETTS",2009,6593587,2761.1,457.1,2.6,25.8,112.6,316,2304,525.7,1600.3,178,11316,408061.8,"98,864",16783
"MASSACHUSETTS",2012,6646144,2558.5,405.5,1.8,24.7,98.6,280.4,2153,519.7,1494.4,138.9,11308,444329.8,"210,453",19282
"MASSACHUSETTS",2015,6794422,2081.6,390.9,1.9,54.2,77.8,280.7,1690.7,322.2,1249.7,118.8,9922,471135.3,"167,285",20673
"MASSACHUSETTS",2016,6811779,1938,376.9,2,54.6,78.8,265,1561.1,281.8,1161,118.3,9403,478961,"226,212",30980
"MASSACHUSETTS",2017,6859819,1795,358,2.5,32,71,252.5,1437,249.1,1078,109.9,9133,490839.8,"206,492",20119
"MASSACHUSETTS",2018,6902149,1601.4,338.1,2,34.9,60,241.2,1263.3,200.8,966.8,95.7,8692,506072.8,"211,295",20340
"MASSACHUSETTS",2013,6692824,2464.6,413.4,2,71.8,100.2,270.5,2051.2,459.2,1455.7,136.3,10950,444865.8,"251,361",19650
"MASSACHUSETTS",2014,6745408,2248.5,391.4,2,56.4,89.5,267.6,1857.1,370.1,1364.5,122.5,10713,453884.2,"179,344",20057
"MICHIGAN",2011,9876187,3057.4,445.3,6.2,44,105.2,289.9,2612.1,724.9,1629,258.2,42940,411465.7,"356,635",23744
"MICHIGAN",2012,9883360,2985,454.5,7,46.4,105.6,295.5,2530.5,664.4,1612,254.1,43636,418857.4,"430,405",23165
"MICHIGAN",2010,9883640,3203.9,490.3,5.7,47.3,116.3,321,2713.6,747.4,1689.5,276.8,44165,400941.4,"348,200",24426
"MICHIGAN",2015,9922576,2301.1,415.5,5.8,107,78.6,266.2,1885.6,403.5,1323.2,158.9,42628,442481.8,"500,921",22913
"MICHIGAN",2016,9928300,2368.9,459,6,123.3,71.7,309.5,1909.9,398.5,1308.1,203.2,41122,452268.8,"579,605",23914
"MICHIGAN",2017,9962311,2250,450,5.7,70.6,65.1,308.5,1800,357.8,1245.7,196.5,39666,459129.1,"513,243",23856
"MICHIGAN",2018,9995915,2102.9,449.4,5.5,76.9,56.6,310.3,1653.5,316.6,1162.3,174.6,38761,470529.2,"489,957",23991
"MICHIGAN",2008,10003422,3436.3,501.5,5.4,45,129.6,321.5,2934.8,741.5,1831.1,362.3,NA,416701.8,"357,335",26495
"MICHIGAN",2013,9895622,2777.5,449.9,6.4,113.1,102.1,274.8,2327.6,569.4,1510,248.3,43759,424319.9,"503,979",22669
"MICHIGAN",2014,9909877,2471.2,427.3,5.4,104.2,80.9,277.7,2043.9,445.9,1384.5,213.5,43390,431510.9,"424,091",23179
"MICHIGAN",2009,9969727,3334.8,497,6.3,45.3,123.7,321.7,2837.8,760.5,1782.6,294.7,45478,380091.2,"362,172",25419
"MINNESOTA",2015,5489594,2464.7,242.6,2.4,73,68.7,129.2,2222.1,351.6,1725.2,145.4,10798,313086.2,"519,244",13917
"MINNESOTA",2016,5519952,2375.9,242.6,1.8,73.9,67.5,130.7,2133.3,337.1,1638.1,158.1,10592,319129.9,"651,599",13754
"MINNESOTA",2017,5576606,2429.8,238.3,2,42.8,64.9,128.6,2191.5,336.9,1675.7,178.9,10708,325322.7,"683,544",14848
"MINNESOTA",2018,5611179,2214.2,220.4,1.9,43.9,52.5,122.2,1993.8,288.4,1524.8,180.5,10101,333919.5,"604,078",15264
"MINNESOTA",2012,5379139,2799.2,230.9,1.8,30.5,64.6,134,2568.3,471.8,1939.3,157.2,9938,294296.6,"440,992",13476
"MINNESOTA",2008,5220393,3113.4,262.8,2.1,34.6,80,146.1,2850.6,505.9,2151.6,193.1,NA,285792.2,"277,175",13697
"MINNESOTA",2009,5266214,2884.9,243.9,1.4,34,68.7,139.8,2641,484,1995.3,161.8,9986,275453.1,"285,130",13709
"MINNESOTA",2010,5303925,2808.3,236,1.8,33.9,63.9,136.4,2572.3,460.3,1950,161.9,9796,284863.9,"297,390",13509
"MINNESOTA",2011,5344861,2770.6,221.2,1.4,31.1,63.4,125.4,2549.4,481.3,1915.1,153.1,9800,290630.4,"337,534",13409
"MINNESOTA",2013,5420380,2654.8,234.4,2.1,62.9,67.8,127.5,2420.4,419,1854.4,147,10289,300633.1,"525,774",13348
"MINNESOTA",2014,5457173,2526.6,229.1,1.6,63.3,67.6,123.3,2297.5,380.7,1763.5,153.3,10637,309239.2,"481,122",13589
"MISSISSIPPI",2008,2938618,3225.3,284.9,8.1,30.3,102.6,143.9,2940.4,885.6,1838.7,216.2,NA,104386.2,"181,068",8243
"MISSISSIPPI",2009,2951996,3234.6,281.3,6.4,31.8,100.4,142.6,2953.3,987.9,1782.5,183,21482,99463,"167,057",8764
