State,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft,Year,Prison_population,GDP,Gun_number,Police_number
KANSAS,2893957,339.9,3.9,70.2,46.6,248.1,2946.8,600.4,2117,229.5,2013,9763,140505.6,"228,105",9249
KENTUCKY,4395295,209.8,3.8,62.3,73.9,95.5,2362.9,596.4,1629.3,137.2,2013,21030,179390,"1,578,331",9120
LOUISIANA,4625470,518.5,10.8,61.9,119.9,352.8,3582,890.4,2493.6,198,2013,39299,226615.9,"353,025",10987
MAINE,1328302,129.3,1.8,59.6,25.2,68.7,2292.2,488.1,1735.3,68.8,2013,2173,52505,"96,760",2806
MASSACHUSETTS,6692824,413.4,2,71.8,100.2,270.5,2051.2,459.2,1455.7,136.3,2013,10950,444865.8,"251,361",19650
MASSACHUSETTS,6745408,391.4,2,56.4,89.5,267.6,1857.1,370.1,1364.5,122.5,2014,10713,453884.2,"179,344",20057
MICHIGAN,9895622,449.9,6.4,113.1,102.1,274.8,2327.6,569.4,1510,248.3,2013,43759,424319.9,"503,979",22669
MICHIGAN,9909877,427.3,5.4,104.2,80.9,277.7,2043.9,445.9,1384.5,213.5,2014,43390,431510.9,"424,091",23179
MINNESOTA,5420380,234.4,2.1,62.9,67.8,127.5,2420.4,419,1854.4,147,2013,10289,300633.1,"525,774",13348
MINNESOTA,5457173,229.1,1.6,63.3,67.6,123.3,2297.5,380.7,1763.5,153.3,2014,10637,309239.2,"481,122",13589
MISSISSIPPI,2991207,274.6,6.5,55,80.5,156.5,2724.7,835.6,1742.3,146.7,2013,21969,99622.4,"231,711",4609
MISSISSIPPI,2994079,278.5,8.6,60.8,81.2,153.4,2921.2,813.3,1956.9,150.9,2014,18793,100118.3,"214,829",4162
MISSOURI,6044171,433.4,6.1,64.3,90.7,298.7,3137,643,2223.9,270.1,2013,31537,271902.1,"567,009",20093
MISSOURI,6063589,442.9,6.6,67.3,92.2,304.8,2906.5,581.5,2055.3,269.8,2014,31942,273170.5,"517,063",20309
MONTANA,1015165,252.9,2.2,68.7,20.1,190.2,2556.5,400.3,1974,182.2,2013,3642,42433.8,"137,830",2542
MONTANA,1023579,323.7,3.6,94.9,19.8,247.4,2472.9,351.2,1922.1,199.6,2014,3699,43173.7,"121,836",2021
NEBRASKA,1868516,262.1,3.1,75.9,55.7,160.5,2623.4,476.3,1908.2,238.9,2013,5026,105038.2,"91,553",4915
NEBRASKA,1881503,280.4,2.9,78.8,55.4,176.2,2523.5,422.5,1864.1,236.8,2014,5441,107166.2,"68,568",5152
NEW HAMPSHIRE,1323459,215.3,1.7,88,49,112.7,2194.3,373,1750.3,71,2013,3018,68800.2,"147,726",3432
NEW HAMPSHIRE,1326813,196.1,0.9,79.3,40.5,110,1962.7,313.7,1584.4,64.6,2014,2963,69544.7,"124,677",3401
NORTH DAKOTA,723393,270.1,2.2,77.4,22.4,199.9,2094,405.6,1492.7,195.7,2013,1513,52530.8,"85,812",1992
NORTH DAKOTA,739482,265.1,3,85.7,23.4,190.3,2110.3,366.1,1539.5,204.7,2014,1718,56522.9,"70,548",2157
OHIO,11570808,286.2,3.9,59.3,124.2,123.2,2927.5,790.2,1968.5,168.8,2013,51729,550800,"680,930",16934
OHIO,11594163,284.9,4,78.8,110,127.4,2799.1,680,1963.6,155.4,2014,51519,571911.6,"596,389",12771
OKLAHOMA,3850568,441.2,5.1,100.1,78.7,300.8,3273.7,866.1,2116.4,291.2,2013,27547,177601.6,"380,634",12216
OREGON,3930065,254,2,85.4,61,142.7,3173.9,528.5,2394.5,250.9,2013,15362,175805.1,"274,302",9787
OREGON,3970239,232.3,2,63.2,52.7,140.8,2879,434,2204.6,240.5,2014,15075,181861,"243,044",10312
PENNSYLVANIA,12773801,335.4,4.7,50.2,115.6,185.7,2060.8,407.3,1545.6,107.8,2013,50312,651318.9,"1,044,731",30082
RHODE ISLAND,1051511,257.2,2.9,71,65,147.4,2442,533.2,1696.4,212.4,2013,3361,52084.6,"26,666",3056
SOUTH CAROLINA,4774839,508.5,6.2,77.3,83.2,373.6,3624.2,857.8,2502.9,263.5,2013,22060,178940.4,"335,695",15050
SOUTH CAROLINA,4832482,497.7,6.4,73.4,82.7,365.8,3460.3,759.9,2433.4,267,2014,21401,183561.9,"289,764",12732
SOUTH DAKOTA,844877,316.5,2.4,100.4,18.8,236.2,1914.7,399.1,1404.6,111,2013,3651,43602.2,"92,055",2652
SOUTH DAKOTA,853175,326.5,2.3,103.5,23.4,245.7,1863.9,330.3,1415.5,118,2014,3608,44153,"83,659",2913
TENNESSEE,6495978,590.6,5,61.5,112.5,436.9,3180.9,785.1,2213.7,182.1,2013,28521,286801.4,"600,869",26564
TENNESSEE,6549352,608.4,5.7,67,110.9,453.2,3060.6,712.2,2156,192.4,2014,28769,291687.6,"533,394",26709
TEXAS,26448193,408.3,4.3,65.3,120.2,246.9,3258.2,721.8,2287.8,248.6,2013,168280,1472103.5,"1,633,278",78457
UTAH,2900872,224,1.7,83.3,42.8,130.4,2950.4,459.6,2233.4,257.3,2013,7075,131901.8,"324,604",4776
UTAH,2942902,215.6,2.3,81.5,44.6,119.4,2878.5,391.4,2239.1,248,2014,7031,136081.5,"263,812",7018
VERMONT,626562,99.3,1.6,33.4,11.2,68.9,1524.4,324.6,1160.8,38.9,2014,1979,28521.8,"31,502",1489
VERMONT,626630,121.1,1.6,35.2,11.6,87.1,2214.2,528.7,1632.2,53.3,2013,2078,28498.6,"36,135",1575
VIRGINIA,8260405,196.2,3.8,46.5,55.3,109.7,2065.9,322.5,1640.1,103.3,2013,36982,446559.7,"498,426",23766
VIRGINIA,8326289,196.2,4.1,44.9,51.5,112.9,1930.3,277.7,1560.5,92.1,2014,37544,445869.2,"419,764",23868
WASHINGTON,6971406,289.1,2.3,62.7,83.5,166.4,3710.3,837,2465.9,407.4,2013,17984,411140.6,"561,122",14609
