State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,Population
MISSISSIPPI,Under 18,"10,347",218,"2,232",14,13,107,84,561,"1,535",101,35,"1,240",11,69,14,88,208,187,1,47,683,12,293,137,269,104,"1,964",3,"1,777",2,500,288,75,"1,308,021"
,Total all ages,"108,280","1,946","11,109",135,165,572,"1,074","2,248","8,275",485,101,"10,244",883,"1,895",715,715,936,"1,003",119,412,"11,741",227,"3,606","11,629","2,269","6,272","7,233",75,"34,431",32,500,288,,
MISSOURI,Under 18,"45,321","1,642","11,574",35,62,543,"1,002","1,799","8,861",767,147,"6,554",74,109,31,539,"2,403",728,8,432,"3,398",14,90,425,"2,800",30,"2,590",42,"6,583",0,"1,805","3,450",384,"5,542,829"
,Total all ages,"332,126","12,520","45,261",356,548,"2,419","9,197","7,085","34,447","3,343",386,"36,334","2,515","3,638",223,"3,066","7,352","4,058",635,"2,434","35,990",125,"4,636","34,004","14,242",581,"15,431",250,"103,576",0,"1,805","3,450",,
MONTANA,Under 18,"7,251",109,"1,782",1,4,6,98,138,"1,503",108,33,682,6,9,5,10,460,20,0,20,297,0,50,63,"1,394",0,511,0,910,0,518,405,88,"932,625"
,Total all ages,"32,378",852,"4,617",11,25,47,769,360,"3,973",227,57,"4,071",64,166,32,33,"1,119",121,11,64,"1,620",0,313,"4,240","5,471",0,"3,032",9,"5,620",0,518,405,,
NEBRASKA,Under 18,"15,375",247,"3,570",5,18,75,149,331,"3,063",129,47,"1,961",18,92,17,209,"1,030",198,1,123,"1,166",1,37,281,"2,432",0,927,1,"2,189",0,460,415,218,"1,634,173"
,Total all ages,"89,301","1,967","9,602",43,146,397,"1,381",908,"8,242",374,78,"9,072",446,"1,691",113,830,"2,698","1,108",212,595,"10,432",19,"1,539","13,692","12,746",0,"4,306",28,"17,329",1,460,415,,
NEVADA,Under 18,"24,656",939,"4,808",11,31,369,528,"1,000","3,435",254,119,"2,639",19,54,31,249,"1,591",444,63,153,"1,723",2,8,124,"2,203",83,"1,019",89,"4,025",14,"3,189","1,187",34,"2,545,496"
,Total all ages,"166,395","6,516","17,542",146,263,"1,835","4,272","3,492","12,712","1,118",220,"18,585","1,017","1,942",523,"1,606","2,983","2,051","4,659","1,594","14,886",35,"1,491","14,445","10,011",201,"3,156","2,438","56,321",17,"3,189","1,187",,
